Gene Id: 1	 Cluster Id from solution: 1	 Ground truth cluster: -1
Gene Id: 2	 Cluster Id from solution: -1	 Ground truth cluster: 1
Gene Id: 3	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 4	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 5	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 6	 Cluster Id from solution: -1	 Ground truth cluster: 1
Gene Id: 7	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 8	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 9	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 10	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 11	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 12	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 13	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 14	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 15	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 16	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 17	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 18	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 19	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 20	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 21	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 22	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 23	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 24	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 25	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 26	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 27	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 28	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 29	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 30	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 31	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 32	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 33	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 34	 Cluster Id from solution: 1	 Ground truth cluster: 1
